Name,Value,Agility,Dribbling,Finishing,Shot power,Sprint speed,Interceptions,Marking
Cristiano Ronaldo,95.5,89,91,94,94,91,29,22
L. Messi,105.0,90,97,95,85,87,22,13
Neymar,123.0,96,96,89,80,90,36,21
L. Suárez,97.0,86,86,94,87,77,41,30
M. Neuer,61.0,52,30,13,25,61,30,10
R. Lewandowski,92.0,78,85,91,88,83,39,25
De Gea,64.5,60,18,13,31,58,30,13
E. Hazard,90.5,93,93,83,79,87,41,25
T. Kroos,79.0,71,79,76,87,52,85,63
G. Higuaín,77.0,75,84,91,88,80,20,12
Sergio Ramos,52.0,79,61,60,79,77,88,86
K. De Bruyne,83.0,80,85,83,85,75,56,30
T. Courtois,59.0,61,13,14,36,52,15,11
A. Sánchez,67.5,90,90,85,84,84,42,30
L. Modrić,57.0,93,86,71,73,71,76,66
G. Bale,69.5,77,89,87,91,95,59,51
S. Agüero,66.5,86,89,90,88,84,24,13
G. Chiellini,38.0,59,58,33,78,78,88,92
G. Buffon,4.5,55,26,15,39,43,28,10
P. Dybala,79.0,91,92,85,82,84,24,14
J. Oblak,57.0,67,12,11,22,60,19,14
A. Griezmann,75.0,90,87,88,81,86,35,23
Thiago,70.5,90,90,69,75,68,78,49
P. Aubameyang,61.0,77,82,88,81,96,48,28
L. Bonucci,44.0,60,69,39,74,72,90,84
J. Boateng,48.0,58,67,34,79,78,83,88
D. Godín,40.0,63,53,42,67,67,88,87
M. Hummels,48.0,64,68,55,71,65,89,85
M. Özil,60.0,83,86,74,70,68,24,22
H. Lloris,38.0,55,10,10,23,63,27,12
Thiago Silva,34.0,74,68,38,74,74,89,90
Z. Ibrahimović,27.0,81,82,87,91,67,20,15
A. Robben,36.0,89,92,85,87,86,39,29
N. Kanté,52.5,83,77,65,72,80,91,75
M. Verratti,64.5,87,90,58,56,62,86,76
P. Pogba,66.5,76,86,71,90,76,68,66
C. Eriksen,65.0,78,84,76,80,74,55,38
A. Vidal,37.5,75,76,77,86,74,85,76
E. Cavani,48.5,81,80,83,85,78,48,24
Marcelo,38.0,77,84,67,83,79,83,80
M. Hamšík,48.5,76,86,78,82,75,72,60
I. Rakitić,48.5,72,84,83,84,64,69,52
David Silva,44.0,92,84,71,71,65,43,25
S. Handanovič,29.0,42,18,10,22,57,22,17
Piqué,37.5,58,59,64,62,73,88,86
Iniesta,29.5,79,90,70,65,71,66,57
H. Kane,59.0,73,78,90,87,74,35,41
J. Rodríguez,56.0,82,83,82,86,75,55,25
Isco,56.5,83,90,88,72,69,70,25
D. Alaba,44.5,79,79,63,83,86,85,81
R. Lukaku,59.0,62,77,89,88,89,27,27
Alex Sandro,44.0,79,82,55,80,88,82,78
T. Müller,47.5,76,75,87,77,78,58,31
Sergio Busquets,36.0,58,74,60,61,34,86,81
Coutinho,56.0,92,88,74,80,77,30,24
M. Reus,45.0,86,86,86,87,90,50,30
T. Alderweireld,40.5,60,62,45,86,69,84,89
David Luiz,33.0,72,66,55,77,71,87,80
Diego Costa,46.0,58,77,88,84,75,40,28
R. Nainggolan,42.5,81,80,76,84,76,86,78
Javi Martínez,36.0,54,62,53,76,50,86,84
D. Mertens,43.0,94,89,85,80,87,36,30
Sokratis,34.5,62,58,44,79,84,80,88
Miranda,25.5,61,65,43,70,74,88,89
K. Benzema,44.5,77,82,87,83,78,22,13
Cesc Fàbregas,41.0,65,80,76,77,62,50,60
F. Ribéry,22.5,88,90,76,76,79,36,13
Pepe,13.5,63,58,46,63,70,86,86
P. Čech,10.5,49,12,12,21,44,23,11
Y. Carrasco,51.5,91,91,79,84,89,18,19
R. Varane,46.5,58,57,40,52,81,82,84
Casemiro,42.0,66,69,59,86,61,86,83
L. Insigne,45.0,96,88,73,70,86,26,16
A. Lacazette,48.5,87,85,87,81,87,40,23
K. Navas,24.5,60,16,15,21,53,20,12
H. Mkhitaryan,39.0,89,87,77,87,84,64,49
D. Subašić,22.0,42,11,10,24,54,20,15
B. Leno,34.0,52,16,9,23,52,22,8
M. ter Stegen,35.5,37,17,14,22,50,22,10
K. Glik,30.0,34,51,27,57,58,87,85
Jordi Alba,30.5,90,80,73,64,93,83,81
I. Gündoğan,46.0,83,87,72,77,70,79,57
Azpilicueta,37.5,75,69,46,68,79,85,87
A. Di María,37.5,92,86,74,83,86,38,37
M. Pjanić,43.5,79,86,61,78,74,74,62
C. Marchisio,33.0,81,84,61,82,78,80,72
J. Vertonghen,28.5,62,69,56,86,66,86,84
B. Matuidi,28.5,76,73,65,74,78,85,83
S. Ruffier,24.5,51,12,11,21,50,25,11
Filipe Luís,25.0,74,77,59,71,82,82,85
V. Kompany,26.0,60,63,45,75,64,80,84
A. Barzagli,5.0,51,64,21,54,76,92,90
E. Bailly,35.5,63,63,33,55,80,85,82
Marco Asensio,46.0,78,83,82,84,77,45,29
Bernardo Silva,43.5,88,91,76,72,78,49,46
A. Laporte,35.5,49,55,45,70,70,85,86
D. Alli,43.0,74,83,84,77,76,67,60
S. Mané,39.0,89,86,83,77,92,31,33
Carvajal,32.0,82,76,41,64,86,82,85
J. Draxler,39.5,81,88,78,86,79,36,25
M. Icardi,42.0,74,74,89,81,80,22,17
Morata,41.0,62,83,82,80,86,24,14
K. Koulibaly,32.5,50,54,19,55,76,86,85
T. Horn,31.0,50,20,13,22,51,22,11
Koke,39.5,77,80,71,84,69,64,63
K. Manolas,31.5,68,54,10,43,81,85,88
S. Mustafi,31.5,66,53,58,66,69,85,82
Ander Herrera,32.0,84,81,71,72,70,86,80
K. Strootman,35.0,65,76,68,85,68,84,72
Pedro,30.5,84,84,81,71,80,49,30
R. Bürki,26.0,51,16,8,22,52,18,14
Bruno,18.5,53,75,66,84,41,85,70
I. Perišić,31.5,78,83,79,83,87,42,26
E. Džeko,28.0,57,76,87,86,61,50,11
Willian,31.5,89,87,77,71,86,55,43
S. Khedira,29.0,59,78,69,82,68,86,76
R. Fährmann,25.0,39,15,11,24,47,23,12
Sergio Asenjo,25.0,62,15,14,24,54,22,12
Juan Mata,30.5,85,82,79,75,63,39,25
M. Benatia,23.0,59,64,45,59,76,84,86
D. Payet,29.5,79,89,76,78,72,37,29
Falcao,28.0,85,74,87,79,66,41,16
L. Koscielny,21.0,68,62,32,54,76,86,83
G. Cahill,21.0,62,58,56,63,63,83,84
Dani Alves,9.0,85,84,55,86,84,81,73
A. Gómez,31.0,92,89,78,76,86,40,24
Aduriz,11.0,53,79,85,83,70,23,46
K. Mbappé,41.5,78,86,87,79,90,49,41
O. Dembélé,40.0,90,92,77,82,89,36,29
N. Keïta,34.0,90,90,74,76,66,79,55
J. Giménez,28.5,57,47,37,72,72,85,85
G. Rulli,25.5,58,15,15,24,48,21,16
T. Lemar,38.5,85,88,78,82,84,66,63
João Mário,34.0,81,84,66,77,75,78,67
N. Süle,30.5,33,42,20,77,76,82,81
Ederson,26.0,60,21,14,42,63,25,9
Fabinho,29.5,71,75,66,75,75,83,79
M. Salah,32.5,86,87,79,71,93,55,37
A. Belotti,37.0,79,78,88,81,83,31,15
E. Forsberg,31.5,85,82,72,75,72,43,23
Marquinhos,30.5,66,65,33,53,72,84,85
William Carvalho,27.5,45,79,56,59,53,84,77
S. Umtiti,29.5,68,69,51,83,75,86,80
R. Mahrez,30.5,92,88,74,76,80,38,25
V. van Dijk,27.5,57,70,52,81,76,83,83
Roberto Firmino,34.0,82,87,83,79,77,37,30
Danilo Pereira,27.5,58,76,56,77,68,85,80
Vitolo,27.0,75,86,79,77,79,25,25
A. Lopes,22.5,65,15,18,20,64,25,13
S. de Vrij,29.0,61,61,25,65,68,85,87
M. Perin,25.0,70,19,11,23,56,19,14
J. Matip,26.5,58,65,36,66,73,85,83
I. Gueye,24.5,75,75,50,80,75,87,80
Iago Aspas,26.0,88,85,86,79,79,36,20
N. Otamendi,20.0,69,41,53,69,64,85,81
N. Matić,21.0,56,72,64,78,66,85,75
J. Pastore,25.5,79,88,73,78,72,69,49
S. Kagawa,26.0,92,87,76,56,65,56,30
G. Bonaventura,26.5,81,83,70,84,78,72,60
B. Dost,27.0,38,64,87,83,64,39,29
K. Walker,24.0,70,77,51,86,93,78,79
Oscar,0.0,86,81,75,76,74,34,37
S. N'Zonzi,21.0,43,72,64,79,61,85,75
M. Musacchio,27.0,72,43,48,57,69,85,85
O. Toprak,24.5,64,64,28,63,79,84,86
José Callejón,24.5,85,82,76,78,90,40,24
Adrien Silva,0.0,73,82,71,83,65,84,80
S. Giovinco,25.0,92,86,83,79,81,26,23
N. Gaitán,25.5,87,85,73,72,79,40,30
M. Mandžukić,23.5,67,74,84,78,76,66,56
A. Lallana,25.0,83,85,79,72,72,68,60
B. Höwedes,20.0,63,60,48,62,65,83,84
E. Banega,25.5,84,83,65,74,67,70,57
Rui Patrício,17.5,61,20,12,38,57,22,13
Y. Sommer,21.0,55,15,13,23,54,21,11
M. Schneiderlin,25.5,73,74,61,71,68,84,76
Jonas,16.5,77,84,87,83,65,34,23
K. Gameiro,25.0,82,76,86,84,86,38,23
L. Piszczek,14.5,66,74,65,77,84,81,79
E. Garay,19.0,57,62,58,80,46,84,84
A. Valencia,17.0,75,82,58,85,87,80,78
K. Schmeichel,19.0,62,12,12,36,60,20,14
Borja Valero,20.0,80,86,67,72,67,70,58
L. Perrin,17.5,64,62,64,73,69,82,88
L. Biglia,17.5,76,77,50,77,68,84,70
Juanfran,14.5,75,77,54,68,87,78,83
Diego López,6.0,48,11,12,22,52,16,14
Santi Cazorla,19.5,79,85,75,77,63,65,58
J. Mascherano,10.5,72,58,42,76,64,88,81
W. Sneijder,15.5,77,82,72,86,69,45,32
Nani,24.5,92,87,75,85,78,31,15
D. De Rossi,10.5,68,64,50,81,68,87,75
José Reina,10.5,50,10,14,24,63,22,12
Quaresma,15.5,91,89,70,83,82,24,10
Y. Touré,12.5,58,78,82,86,64,60,68
Casillas,3.5,62,25,12,28,57,22,11
G. Donnarumma,28.5,64,24,12,24,54,26,12
L. Sané,34.5,89,87,78,78,94,32,26
T. Bakayoko,26.0,66,75,39,72,72,81,80
C. Tolisso,30.5,77,77,75,82,69,76,72
I. Slimani,22.0,64,74,80,78,72,54,34
N. Fekir,28.0,84,86,78,84,80,28,24
J. Seri,26.0,83,79,69,78,77,74,73
K. Baldé Diao,32.5,82,87,79,78,92,31,17
J. Tah,26.0,48,55,19,44,78,80,82
F. Bernardeschi,30.5,85,86,73,80,84,34,28
T. Werner,30.5,79,81,86,74,91,37,17
André Gomes,30.0,67,81,68,80,66,76,65
A. Martial,33.0,85,88,81,84,89,42,35
L. Goretzka,30.0,76,80,71,76,85,82,73
Q. Promes,28.0,87,83,82,82,91,27,25
Lucas Vázquez,26.0,82,82,77,77,79,44,21
Saúl,32.0,76,82,71,74,73,78,69
Felipe,18.0,63,57,39,46,70,83,82
C. Bacca,21.5,76,79,87,76,78,34,12
F. Vázquez,22.5,71,88,77,74,66,54,33
M. Kovačić,30.0,77,88,62,79,77,70,52
Sergio Rico,21.5,62,14,14,19,53,23,18
Manu Trigueros,27.5,78,81,71,81,73,69,53
A. Rüdiger,24.5,63,59,27,70,75,79,82
F. Thauvin,28.0,81,86,74,82,77,43,29
S. Savić,24.0,60,47,34,43,65,84,85
Iñigo Martínez,24.0,67,53,42,81,72,82,85
Roque Mesa,18.0,77,72,67,63,78,81,72
A. Florenzi,22.0,87,79,76,82,84,77,73
D. Klaassen,27.5,67,72,82,78,73,68,59
K. Bellarabi,23.0,86,87,75,85,93,38,28
R. Sterling,29.5,91,85,73,68,92,26,48
Suso,29.5,86,87,70,78,80,20,19
Deulofeu,31.0,93,89,70,72,93,25,20
E. Dier,25.0,56,66,52,83,74,80,79
M. Rojo,21.0,72,67,50,79,71,80,79
Lucas,28.0,94,88,72,79,92,50,39
H. Son,28.0,79,85,83,83,86,29,17
F. Acerbi,17.0,33,57,37,75,60,84,86
