Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,Score_prom
Cristiano Ronaldo,32,ST LW ,53.0,53.0,53.0,61.0,61.0,66.0,66.0,62.0,62.0,62.0,82.0,82.0,82.0,89.0,89.0,89.0,89.0,89.0,91.0,91.0,91.0,91.0,92.0,92.0,91.0,92.0,Cercano al retiro,91.38
L. Messi,30,RW ,45.0,45.0,45.0,57.0,57.0,62.0,62.0,59.0,59.0,59.0,84.0,84.0,84.0,90.0,90.0,92.0,92.0,92.0,91.0,91.0,92.0,92.0,88.0,88.0,92.0,88.0,Máximo potencial,90.25
Neymar,25,LW ,46.0,46.0,46.0,59.0,59.0,64.0,64.0,59.0,59.0,59.0,79.0,79.0,79.0,87.0,87.0,88.0,88.0,88.0,89.0,89.0,88.0,88.0,84.0,84.0,88.0,84.0,Máximo potencial,86.75
L. Suárez,30,ST ,58.0,58.0,58.0,64.0,64.0,68.0,68.0,65.0,65.0,65.0,80.0,80.0,80.0,85.0,85.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,Máximo potencial,87.75
R. Lewandowski,28,ST ,57.0,57.0,57.0,58.0,58.0,61.0,61.0,62.0,62.0,62.0,78.0,78.0,78.0,82.0,82.0,84.0,84.0,84.0,84.0,84.0,87.0,87.0,88.0,88.0,87.0,88.0,Máximo potencial,86.62
E. Hazard,26,LW ,47.0,47.0,47.0,59.0,59.0,64.0,64.0,61.0,61.0,61.0,81.0,81.0,81.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,87.0,87.0,82.0,82.0,87.0,82.0,Máximo potencial,85.38
G. Higuaín,29,ST ,46.0,46.0,46.0,51.0,51.0,55.0,55.0,52.0,52.0,52.0,71.0,71.0,71.0,79.0,79.0,81.0,81.0,81.0,82.0,82.0,84.0,84.0,87.0,87.0,84.0,87.0,Máximo potencial,84.62
A. Sánchez,28,RM LW ST LM ,56.0,56.0,56.0,62.0,62.0,66.0,66.0,64.0,64.0,64.0,79.0,79.0,79.0,85.0,85.0,85.0,85.0,85.0,86.0,86.0,85.0,85.0,83.0,83.0,85.0,83.0,Máximo potencial,84.5
G. Bale,27,RW ,67.0,67.0,67.0,72.0,72.0,74.0,74.0,71.0,71.0,71.0,81.0,81.0,81.0,87.0,87.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,Máximo potencial,87.0
S. Agüero,29,ST ,44.0,44.0,44.0,52.0,52.0,57.0,57.0,54.0,54.0,54.0,75.0,75.0,75.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,87.0,87.0,86.0,86.0,87.0,86.0,Máximo potencial,86.38
P. Dybala,23,ST CAM ,43.0,43.0,43.0,55.0,55.0,60.0,60.0,55.0,55.0,55.0,78.0,78.0,78.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,86.0,86.0,83.0,83.0,86.0,83.0,Máximo potencial,85.12
A. Griezmann,26,LW RW ST ,48.0,48.0,48.0,56.0,56.0,60.0,60.0,57.0,57.0,57.0,76.0,76.0,76.0,84.0,84.0,84.0,84.0,84.0,86.0,86.0,85.0,85.0,85.0,85.0,85.0,85.0,Máximo potencial,85.25
P. Aubameyang,28,ST ,52.0,52.0,52.0,62.0,62.0,65.0,65.0,59.0,59.0,59.0,74.0,74.0,74.0,83.0,83.0,82.0,82.0,82.0,84.0,84.0,84.0,84.0,85.0,85.0,84.0,85.0,Máximo potencial,84.38
M. Özil,28,RW CAM ,41.0,41.0,41.0,52.0,52.0,58.0,58.0,57.0,57.0,57.0,79.0,79.0,79.0,83.0,83.0,85.0,85.0,85.0,83.0,83.0,82.0,82.0,76.0,76.0,82.0,76.0,Máximo potencial,80.0
Z. Ibrahimović,35,ST ,52.0,52.0,52.0,54.0,54.0,58.0,58.0,60.0,60.0,60.0,78.0,78.0,78.0,80.0,80.0,83.0,83.0,83.0,82.0,82.0,83.0,83.0,84.0,84.0,83.0,84.0,Cercano al retiro,83.12
A. Robben,33,RW RM ,47.0,47.0,47.0,58.0,58.0,63.0,63.0,59.0,59.0,59.0,78.0,78.0,78.0,85.0,85.0,86.0,86.0,86.0,87.0,87.0,86.0,86.0,82.0,82.0,86.0,82.0,Cercano al retiro,84.75
E. Cavani,30,ST ,58.0,58.0,58.0,61.0,61.0,64.0,64.0,62.0,62.0,62.0,74.0,74.0,74.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,82.0,82.0,84.0,84.0,82.0,84.0,Máximo potencial,82.25
H. Kane,23,ST ,57.0,57.0,57.0,60.0,60.0,62.0,62.0,62.0,62.0,62.0,74.0,74.0,74.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,82.0,82.0,84.0,84.0,82.0,84.0,Máximo potencial,82.0
R. Lukaku,24,ST ,53.0,53.0,53.0,56.0,56.0,58.0,58.0,57.0,57.0,57.0,71.0,71.0,71.0,77.0,77.0,77.0,77.0,77.0,78.0,78.0,80.0,80.0,84.0,84.0,80.0,84.0,Máximo potencial,81.0
T. Müller,27,ST CAM RW CF ,58.0,58.0,58.0,66.0,66.0,68.0,68.0,65.0,65.0,65.0,78.0,78.0,78.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,83.0,83.0,83.0,83.0,83.0,83.0,Máximo potencial,82.5
Coutinho,25,CAM LW ,49.0,49.0,49.0,60.0,60.0,64.0,64.0,61.0,61.0,61.0,79.0,79.0,79.0,83.0,83.0,85.0,85.0,85.0,84.0,84.0,83.0,83.0,77.0,77.0,83.0,77.0,Máximo potencial,81.0
M. Reus,28,LW ST LM ,52.0,52.0,52.0,63.0,63.0,67.0,67.0,64.0,64.0,64.0,80.0,80.0,80.0,84.0,84.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,82.0,82.0,86.0,82.0,Máximo potencial,84.5
Diego Costa,28,ST ,57.0,57.0,57.0,58.0,58.0,60.0,60.0,60.0,60.0,60.0,71.0,71.0,71.0,76.0,76.0,76.0,76.0,76.0,77.0,77.0,80.0,80.0,83.0,83.0,80.0,83.0,Máximo potencial,80.38
D. Mertens,30,ST LW CF ,47.0,47.0,47.0,60.0,60.0,65.0,65.0,60.0,60.0,60.0,78.0,78.0,78.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,85.0,85.0,78.0,78.0,85.0,78.0,Máximo potencial,82.62
K. Benzema,29,ST ,44.0,44.0,44.0,51.0,51.0,56.0,56.0,52.0,52.0,52.0,72.0,72.0,72.0,80.0,80.0,82.0,82.0,82.0,83.0,83.0,84.0,84.0,83.0,83.0,84.0,83.0,Máximo potencial,83.38
F. Ribéry,34,LW LM ,42.0,42.0,42.0,55.0,55.0,61.0,61.0,57.0,57.0,57.0,78.0,78.0,78.0,83.0,83.0,85.0,85.0,85.0,84.0,84.0,83.0,83.0,77.0,77.0,83.0,77.0,Cercano al retiro,81.0
L. Insigne,26,LW ,39.0,39.0,39.0,55.0,55.0,60.0,60.0,54.0,54.0,54.0,77.0,77.0,77.0,84.0,84.0,85.0,85.0,85.0,85.0,85.0,83.0,83.0,76.0,76.0,83.0,76.0,Máximo potencial,80.88
A. Lacazette,26,ST ,54.0,54.0,54.0,59.0,59.0,62.0,62.0,60.0,60.0,60.0,74.0,74.0,74.0,80.0,80.0,81.0,81.0,81.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,Máximo potencial,82.75
H. Mkhitaryan,28,LM RW RM ,62.0,62.0,62.0,70.0,70.0,73.0,73.0,70.0,70.0,70.0,80.0,80.0,80.0,83.0,83.0,84.0,84.0,84.0,84.0,84.0,83.0,83.0,79.0,79.0,83.0,79.0,Máximo potencial,81.75
A. Di María,29,LW RW ,58.0,58.0,58.0,66.0,66.0,70.0,70.0,66.0,66.0,66.0,78.0,78.0,78.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,82.0,82.0,77.0,77.0,82.0,77.0,Máximo potencial,80.38
Marco Asensio,21,LW LM RM CAM ,50.0,50.0,50.0,60.0,60.0,65.0,65.0,62.0,62.0,62.0,78.0,78.0,78.0,81.0,81.0,82.0,82.0,82.0,81.0,81.0,81.0,81.0,77.0,77.0,81.0,77.0,Joven promesa,79.5
D. Alli,21,LM CF CAM ,69.0,69.0,69.0,72.0,72.0,73.0,73.0,75.0,75.0,75.0,81.0,81.0,81.0,81.0,81.0,83.0,83.0,83.0,81.0,81.0,83.0,83.0,81.0,81.0,83.0,81.0,Joven promesa,81.75
S. Mané,25,LW RW ,51.0,51.0,51.0,60.0,60.0,63.0,63.0,60.0,60.0,60.0,74.0,74.0,74.0,82.0,82.0,81.0,81.0,81.0,83.0,83.0,82.0,82.0,79.0,79.0,82.0,79.0,Máximo potencial,81.12
J. Draxler,23,LM CAM LW ,49.0,49.0,49.0,57.0,57.0,62.0,62.0,59.0,59.0,59.0,77.0,77.0,77.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,80.0,80.0,83.0,80.0,Máximo potencial,81.88
M. Icardi,24,ST ,46.0,46.0,46.0,49.0,49.0,51.0,51.0,50.0,50.0,50.0,67.0,67.0,67.0,73.0,73.0,75.0,75.0,75.0,75.0,75.0,79.0,79.0,82.0,82.0,79.0,82.0,Máximo potencial,79.12
Morata,24,ST ,45.0,45.0,45.0,51.0,51.0,56.0,56.0,51.0,51.0,51.0,70.0,70.0,70.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,81.0,82.0,Máximo potencial,81.12
Pedro,29,LW RW ,50.0,50.0,50.0,60.0,60.0,65.0,65.0,61.0,61.0,61.0,77.0,77.0,77.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,82.0,82.0,77.0,77.0,82.0,77.0,Máximo potencial,80.38
E. Džeko,31,ST ,49.0,49.0,49.0,52.0,52.0,55.0,55.0,57.0,57.0,57.0,73.0,73.0,73.0,75.0,75.0,77.0,77.0,77.0,76.0,76.0,79.0,79.0,82.0,82.0,79.0,82.0,Cercano al retiro,79.38
Willian,28,CAM RM RW ,55.0,55.0,55.0,68.0,68.0,72.0,72.0,68.0,68.0,68.0,80.0,80.0,80.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,82.0,82.0,74.0,74.0,82.0,74.0,Máximo potencial,79.25
D. Payet,30,CAM LW ,51.0,51.0,51.0,60.0,60.0,64.0,64.0,63.0,63.0,63.0,79.0,79.0,79.0,83.0,83.0,84.0,84.0,84.0,83.0,83.0,82.0,82.0,78.0,78.0,82.0,78.0,Máximo potencial,80.75
Falcao,31,ST ,54.0,54.0,54.0,54.0,54.0,56.0,56.0,57.0,57.0,57.0,71.0,71.0,71.0,74.0,74.0,77.0,77.0,77.0,76.0,76.0,79.0,79.0,82.0,82.0,79.0,82.0,Cercano al retiro,79.38
A. Gómez,29,ST LW CF ,45.0,45.0,45.0,59.0,59.0,65.0,65.0,59.0,59.0,59.0,77.0,77.0,77.0,84.0,84.0,84.0,84.0,84.0,85.0,85.0,83.0,83.0,76.0,76.0,83.0,76.0,Máximo potencial,80.88
Aduriz,36,ST ,60.0,60.0,60.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,69.0,69.0,69.0,73.0,73.0,76.0,76.0,76.0,75.0,75.0,80.0,80.0,83.0,83.0,80.0,83.0,Cercano al retiro,79.88
K. Mbappé,18,ST ,58.0,58.0,58.0,64.0,64.0,67.0,67.0,64.0,64.0,64.0,75.0,75.0,75.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,Joven promesa,82.0
O. Dembélé,20,CAM LW RW ,45.0,45.0,45.0,58.0,58.0,63.0,63.0,57.0,57.0,57.0,74.0,74.0,74.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,82.0,82.0,76.0,76.0,82.0,76.0,Joven promesa,80.0
M. Salah,25,RW ,56.0,56.0,56.0,64.0,64.0,68.0,68.0,64.0,64.0,64.0,75.0,75.0,75.0,82.0,82.0,81.0,81.0,81.0,83.0,83.0,82.0,82.0,78.0,78.0,82.0,78.0,Máximo potencial,80.75
A. Belotti,23,ST ,51.0,51.0,51.0,52.0,52.0,54.0,54.0,52.0,52.0,52.0,65.0,65.0,65.0,72.0,72.0,74.0,74.0,74.0,75.0,75.0,78.0,78.0,82.0,82.0,78.0,82.0,Máximo potencial,78.75
Roberto Firmino,25,CAM CF ST ,58.0,58.0,58.0,63.0,63.0,66.0,66.0,65.0,65.0,65.0,79.0,79.0,79.0,82.0,82.0,83.0,83.0,83.0,82.0,82.0,83.0,83.0,81.0,81.0,83.0,81.0,Máximo potencial,82.0
Iago Aspas,29,RW ST ,46.0,46.0,46.0,54.0,54.0,58.0,58.0,55.0,55.0,55.0,72.0,72.0,72.0,79.0,79.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,Máximo potencial,81.75
J. Pastore,28,RW LW CM ,63.0,63.0,63.0,68.0,68.0,71.0,71.0,72.0,72.0,72.0,81.0,81.0,81.0,81.0,81.0,83.0,83.0,83.0,81.0,81.0,81.0,81.0,77.0,77.0,81.0,77.0,Máximo potencial,79.5
