Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,Score_prom
T. Kroos,27,CDM CM ,72.0,72.0,72.0,76.0,76.0,78.0,78.0,82.0,82.0,82.0,87.0,87.0,87.0,81.0,81.0,83.0,83.0,83.0,80.0,80.0,81.0,81.0,77.0,77.0,81.0,77.0,Máximo potencial,83.45
K. De Bruyne,26,RM CM CAM ,57.0,57.0,57.0,66.0,66.0,71.0,71.0,70.0,70.0,70.0,84.0,84.0,84.0,85.0,85.0,86.0,86.0,86.0,85.0,85.0,85.0,85.0,81.0,81.0,85.0,81.0,Máximo potencial,80.91
A. Sánchez,28,RM LW ST LM ,56.0,56.0,56.0,62.0,62.0,66.0,66.0,64.0,64.0,64.0,79.0,79.0,79.0,85.0,85.0,85.0,85.0,85.0,86.0,86.0,85.0,85.0,83.0,83.0,85.0,83.0,Máximo potencial,77.64
L. Modrić,31,CDM CM ,72.0,72.0,72.0,78.0,78.0,80.0,80.0,80.0,80.0,80.0,86.0,86.0,86.0,84.0,84.0,86.0,86.0,86.0,83.0,83.0,83.0,83.0,76.0,76.0,83.0,76.0,Cercano al retiro,84.0
P. Dybala,23,ST CAM ,43.0,43.0,43.0,55.0,55.0,60.0,60.0,55.0,55.0,55.0,78.0,78.0,78.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,86.0,86.0,83.0,83.0,86.0,83.0,Máximo potencial,75.36
Thiago,26,CDM CAM CM ,66.0,66.0,66.0,72.0,72.0,75.0,75.0,76.0,76.0,76.0,85.0,85.0,85.0,83.0,83.0,86.0,86.0,86.0,83.0,83.0,83.0,83.0,77.0,77.0,83.0,77.0,Máximo potencial,82.45
M. Özil,28,RW CAM ,41.0,41.0,41.0,52.0,52.0,58.0,58.0,57.0,57.0,57.0,79.0,79.0,79.0,83.0,83.0,85.0,85.0,85.0,83.0,83.0,82.0,82.0,76.0,76.0,82.0,76.0,Máximo potencial,75.36
A. Robben,33,RW RM ,47.0,47.0,47.0,58.0,58.0,63.0,63.0,59.0,59.0,59.0,78.0,78.0,78.0,85.0,85.0,86.0,86.0,86.0,87.0,87.0,86.0,86.0,82.0,82.0,86.0,82.0,Cercano al retiro,76.27
N. Kanté,26,CM CDM ,81.0,81.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,84.0,81.0,81.0,81.0,78.0,78.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,72.0,72.0,76.0,72.0,Máximo potencial,80.45
M. Verratti,24,CDM CM ,77.0,77.0,77.0,79.0,79.0,80.0,80.0,84.0,84.0,84.0,85.0,85.0,85.0,80.0,80.0,82.0,82.0,82.0,78.0,78.0,77.0,77.0,69.0,69.0,77.0,69.0,Máximo potencial,83.0
P. Pogba,24,CDM CM ,74.0,74.0,74.0,75.0,75.0,77.0,77.0,79.0,79.0,79.0,84.0,84.0,84.0,83.0,83.0,84.0,84.0,84.0,82.0,82.0,83.0,83.0,81.0,81.0,83.0,81.0,Máximo potencial,82.45
C. Eriksen,25,LM RM CAM ,53.0,53.0,53.0,64.0,64.0,69.0,69.0,68.0,68.0,68.0,83.0,83.0,83.0,84.0,84.0,85.0,85.0,85.0,83.0,83.0,82.0,82.0,77.0,77.0,82.0,77.0,Máximo potencial,79.64
A. Vidal,30,CM CDM ,84.0,84.0,84.0,83.0,83.0,83.0,83.0,85.0,85.0,85.0,83.0,83.0,83.0,80.0,80.0,81.0,81.0,81.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0,Máximo potencial,82.45
M. Hamšík,29,CM ,71.0,71.0,71.0,75.0,75.0,77.0,77.0,77.0,77.0,77.0,85.0,85.0,85.0,83.0,83.0,85.0,85.0,85.0,83.0,83.0,84.0,84.0,81.0,81.0,84.0,81.0,Máximo potencial,82.45
I. Rakitić,29,CM ,64.0,64.0,64.0,69.0,69.0,72.0,72.0,74.0,74.0,74.0,84.0,84.0,84.0,82.0,82.0,83.0,83.0,83.0,81.0,81.0,82.0,82.0,78.0,78.0,82.0,78.0,Máximo potencial,80.64
David Silva,31,LM CM CAM ,50.0,50.0,50.0,59.0,59.0,65.0,65.0,64.0,64.0,64.0,81.0,81.0,81.0,82.0,82.0,84.0,84.0,84.0,82.0,82.0,81.0,81.0,75.0,75.0,81.0,75.0,Cercano al retiro,77.36
Iniesta,33,LM CM ,63.0,63.0,63.0,69.0,69.0,72.0,72.0,74.0,74.0,74.0,84.0,84.0,84.0,84.0,84.0,87.0,87.0,87.0,84.0,84.0,83.0,83.0,76.0,76.0,83.0,76.0,Cercano al retiro,82.09
J. Rodríguez,25,RM CM CAM ,53.0,53.0,53.0,61.0,61.0,65.0,65.0,64.0,64.0,64.0,79.0,79.0,79.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,80.0,80.0,83.0,80.0,Máximo potencial,76.55
Isco,25,LM RM CAM CM ,61.0,61.0,61.0,67.0,67.0,70.0,70.0,71.0,71.0,71.0,84.0,84.0,84.0,82.0,82.0,85.0,85.0,85.0,83.0,83.0,84.0,84.0,79.0,79.0,84.0,79.0,Máximo potencial,80.36
D. Alaba,25,CM CB LB ,80.0,80.0,80.0,83.0,83.0,84.0,84.0,82.0,82.0,82.0,81.0,81.0,81.0,81.0,81.0,80.0,80.0,80.0,80.0,80.0,79.0,79.0,77.0,77.0,79.0,77.0,Máximo potencial,81.0
Alex Sandro,26,LM LB ,81.0,81.0,81.0,84.0,84.0,84.0,84.0,81.0,81.0,81.0,78.0,78.0,78.0,80.0,80.0,77.0,77.0,77.0,78.0,78.0,76.0,76.0,75.0,75.0,76.0,75.0,Máximo potencial,78.91
T. Müller,27,ST CAM RW CF ,58.0,58.0,58.0,66.0,66.0,68.0,68.0,65.0,65.0,65.0,78.0,78.0,78.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,83.0,83.0,83.0,83.0,83.0,83.0,Máximo potencial,75.82
