Unnamed: 0,ID,Name,Age,Photo,Nationality,Overall,Potential,Club,Club Logo,Value,Wage,Special,ClasificacionOverall
0,20801,Cristiano Ronaldo,32,https://cdn.sofifa.org/48/18/players/20801.png,Portugal,94,94,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,95500.0,565.0,2228,Alto nivel
1,158023,L. Messi,30,https://cdn.sofifa.org/48/18/players/158023.png,Argentina,93,93,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,105000.0,565.0,2154,Alto nivel
2,190871,Neymar,25,https://cdn.sofifa.org/48/18/players/190871.png,Brazil,92,94,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,123000.0,280.0,2100,Alto nivel
3,176580,L. Suárez,30,https://cdn.sofifa.org/48/18/players/176580.png,Uruguay,92,92,FC Barcelona,https://cdn.sofifa.org/24/18/teams/241.png,97000.0,510.0,2291,Alto nivel
4,167495,M. Neuer,31,https://cdn.sofifa.org/48/18/players/167495.png,Germany,92,92,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,61000.0,230.0,1493,Alto nivel
5,188545,R. Lewandowski,28,https://cdn.sofifa.org/48/18/players/188545.png,Poland,91,91,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,92000.0,355.0,2143,Alto nivel
6,193080,De Gea,26,https://cdn.sofifa.org/48/18/players/193080.png,Spain,90,92,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,64500.0,215.0,1458,Alto nivel
7,183277,E. Hazard,26,https://cdn.sofifa.org/48/18/players/183277.png,Belgium,90,91,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,90500.0,295.0,2096,Alto nivel
8,182521,T. Kroos,27,https://cdn.sofifa.org/48/18/players/182521.png,Germany,90,90,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,79000.0,340.0,2165,Alto nivel
9,167664,G. Higuaín,29,https://cdn.sofifa.org/48/18/players/167664.png,Argentina,90,90,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,77000.0,275.0,1961,Alto nivel
10,155862,Sergio Ramos,31,https://cdn.sofifa.org/48/18/players/155862.png,Spain,90,90,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,52000.0,310.0,2153,Alto nivel
11,192985,K. De Bruyne,26,https://cdn.sofifa.org/48/18/players/192985.png,Belgium,89,92,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,83000.0,285.0,2162,Alto nivel
12,192119,T. Courtois,25,https://cdn.sofifa.org/48/18/players/192119.png,Belgium,89,92,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,59000.0,190.0,1282,Alto nivel
13,184941,A. Sánchez,28,https://cdn.sofifa.org/48/18/players/184941.png,Chile,89,89,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,67500.0,265.0,2181,Alto nivel
14,177003,L. Modrić,31,https://cdn.sofifa.org/48/18/players/177003.png,Croatia,89,89,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,57000.0,340.0,2228,Alto nivel
15,173731,G. Bale,27,https://cdn.sofifa.org/48/18/players/173731.png,Wales,89,89,Real Madrid CF,https://cdn.sofifa.org/24/18/teams/243.png,69500.0,370.0,2263,Alto nivel
16,153079,S. Agüero,29,https://cdn.sofifa.org/48/18/players/153079.png,Argentina,89,89,Manchester City,https://cdn.sofifa.org/24/18/teams/10.png,66500.0,325.0,2074,Alto nivel
17,138956,G. Chiellini,32,https://cdn.sofifa.org/48/18/players/138956.png,Italy,89,89,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,38000.0,225.0,1867,Alto nivel
18,1179,G. Buffon,39,https://cdn.sofifa.org/48/18/players/1179.png,Italy,89,89,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,4500.0,110.0,1335,Alto nivel
19,211110,P. Dybala,23,https://cdn.sofifa.org/48/18/players/211110.png,Argentina,88,93,Juventus,https://cdn.sofifa.org/24/18/teams/45.png,79000.0,215.0,2063,Alto nivel
20,200389,J. Oblak,24,https://cdn.sofifa.org/48/18/players/200389.png,Slovenia,88,93,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,57000.0,82.0,1290,Alto nivel
21,194765,A. Griezmann,26,https://cdn.sofifa.org/48/18/players/194765.png,France,88,91,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,75000.0,150.0,2104,Alto nivel
22,189509,Thiago,26,https://cdn.sofifa.org/48/18/players/189509.png,Spain,88,90,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,70500.0,225.0,2185,Alto nivel
23,188567,P. Aubameyang,28,https://cdn.sofifa.org/48/18/players/188567.png,Gabon,88,88,Borussia Dortmund,https://cdn.sofifa.org/24/18/teams/22.png,61000.0,165.0,2078,Alto nivel
24,184344,L. Bonucci,30,https://cdn.sofifa.org/48/18/players/184344.png,Italy,88,88,Milan,https://cdn.sofifa.org/24/18/teams/47.png,44000.0,210.0,1995,Alto nivel
25,183907,J. Boateng,28,https://cdn.sofifa.org/48/18/players/183907.png,Germany,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,48000.0,215.0,1989,Alto nivel
26,182493,D. Godín,31,https://cdn.sofifa.org/48/18/players/182493.png,Uruguay,88,88,Atlético Madrid,https://cdn.sofifa.org/24/18/teams/240.png,40000.0,125.0,1930,Alto nivel
27,178603,M. Hummels,28,https://cdn.sofifa.org/48/18/players/178603.png,Germany,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,48000.0,215.0,2038,Alto nivel
28,176635,M. Özil,28,https://cdn.sofifa.org/48/18/players/176635.png,Germany,88,88,Arsenal,https://cdn.sofifa.org/24/18/teams/1.png,60000.0,265.0,1927,Alto nivel
29,167948,H. Lloris,30,https://cdn.sofifa.org/48/18/players/167948.png,France,88,88,Tottenham Hotspur,https://cdn.sofifa.org/24/18/teams/18.png,38000.0,165.0,1318,Alto nivel
30,164240,Thiago Silva,32,https://cdn.sofifa.org/48/18/players/164240.png,Brazil,88,88,Paris Saint-Germain,https://cdn.sofifa.org/24/18/teams/73.png,34000.0,175.0,2124,Alto nivel
31,41236,Z. Ibrahimović,35,https://cdn.sofifa.org/48/18/players/41236.png,Sweden,88,88,Manchester United,https://cdn.sofifa.org/24/18/teams/11.png,27000.0,240.0,2075,Alto nivel
32,9014,A. Robben,33,https://cdn.sofifa.org/48/18/players/9014.png,Netherlands,88,88,FC Bayern Munich,https://cdn.sofifa.org/24/18/teams/21.png,36000.0,225.0,2081,Alto nivel
33,215914,N. Kanté,26,https://cdn.sofifa.org/48/18/players/215914.png,France,87,90,Chelsea,https://cdn.sofifa.org/24/18/teams/5.png,52500.0,190.0,2154,Alto nivel
