,Name,Club,Preferred Positions,Valor_Talento
41,Sergio Ramos,Real Madrid CF,CB,577.7777777777778
10,T. Kroos,Real Madrid CF,CDM,877.7777777777778
26,M. Neuer,FC Bayern Munich,GK,663.0434782608696
4,L. Suárez,FC Barcelona,LB,1054.3478260869565
81,Azpilicueta,Chelsea,RB,441.1764705882353
3,L. Suárez,FC Barcelona,LM,1054.3478260869565
3,L. Suárez,FC Barcelona,RM,1054.3478260869565
0,Neymar,Paris Saint-Germain,LW,1336.9565217391305
108,Saúl,Atlético Madrid,LWB,390.2439024390244
8,K. De Bruyne,Manchester City,CM,932.5842696629213
8,K. De Bruyne,Manchester City,CAM,932.5842696629213
1,L. Messi,FC Barcelona,RW,1129.032258064516
235,K. Walker,Manchester City,RWB,289.1566265060241
2,L. Suárez,FC Barcelona,ST,1054.3478260869565
46,T. Müller,FC Bayern Munich,CF,552.3255813953489
