Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,GK
M. Neuer,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,91.2
De Gea,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,87.6
T. Courtois,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,83.8
G. Buffon,39,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,85.0
J. Oblak,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,84.4
H. Lloris,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,82.8
S. Handanovič,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,83.2
P. Čech,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,81.8
K. Navas,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,81.2
D. Subašić,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,82.8
B. Leno,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,82.2
M. ter Stegen,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,84.2
S. Ruffier,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,83.0
T. Horn,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,83.0
R. Bürki,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,80.8
R. Fährmann,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.6
Sergio Asenjo,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,82.4
G. Rulli,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,81.4
Ederson,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,80.8
A. Lopes,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,80.4
M. Perin,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,80.8
Rui Patrício,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,81.4
Y. Sommer,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,81.8
K. Schmeichel,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,82.6
Diego López,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,80.0
José Reina,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,81.8
Casillas,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,76.6
G. Donnarumma,18,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,80.8
Sergio Rico,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,80.4
O. Baumann,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.6
K. Trapp,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,81.0
W. Szczęsny,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,79.8
O. Karnezis,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,79.4
F. Muslera,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,79.8
C. Bravo,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,81.0
A. Begović,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,79.2
E. Viviano,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,81.0
S. Mandanda,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,80.6
A. Consigli,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,80.4
B. Costil,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,81.2
J. Hart,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,80.0
R. Jarstein,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,80.6
J. Butland,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,79.8
J. Cillessen,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.8
L. Hrádecký,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.6
Adán,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,79.6
S. Mignolet,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.6
T. Heaton,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,79.6
C. Carrasso,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,79.6
Moyá,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,81.0
Alisson,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,77.0
Arrizabalaga,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.6
L. Karius,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.6
Neto,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,79.0
Kiko Casilla,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,79.4
