Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,Score_prom
Sergio Ramos,31,CB ,87.0,87.0,87.0,84.0,84.0,81.0,81.0,83.0,83.0,83.0,74.0,74.0,74.0,71.0,71.0,70.0,70.0,70.0,69.0,69.0,70.0,70.0,72.0,72.0,70.0,72.0,Cercano al retiro,84.43
G. Chiellini,32,CB ,86.0,86.0,86.0,78.0,78.0,75.0,75.0,76.0,76.0,76.0,60.0,60.0,60.0,58.0,58.0,55.0,55.0,55.0,56.0,56.0,55.0,55.0,59.0,59.0,55.0,59.0,Cercano al retiro,80.57
L. Bonucci,30,CB ,86.0,86.0,86.0,79.0,79.0,76.0,76.0,83.0,83.0,83.0,75.0,75.0,75.0,66.0,66.0,68.0,68.0,68.0,63.0,63.0,66.0,66.0,65.0,65.0,66.0,65.0,Máximo potencial,81.14
J. Boateng,28,CB ,85.0,85.0,85.0,81.0,81.0,79.0,79.0,82.0,82.0,82.0,73.0,73.0,73.0,69.0,69.0,67.0,67.0,67.0,65.0,65.0,66.0,66.0,65.0,65.0,66.0,65.0,Máximo potencial,82.14
D. Godín,31,CB ,86.0,86.0,86.0,79.0,79.0,76.0,76.0,80.0,80.0,80.0,69.0,69.0,69.0,63.0,63.0,63.0,63.0,63.0,61.0,61.0,62.0,62.0,64.0,64.0,62.0,64.0,Cercano al retiro,81.14
M. Hummels,28,CB ,85.0,85.0,85.0,80.0,80.0,78.0,78.0,83.0,83.0,83.0,77.0,77.0,77.0,70.0,70.0,71.0,71.0,71.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0,Máximo potencial,81.57
Thiago Silva,32,CB ,85.0,85.0,85.0,81.0,81.0,79.0,79.0,83.0,83.0,83.0,77.0,77.0,77.0,70.0,70.0,72.0,72.0,72.0,68.0,68.0,69.0,69.0,67.0,67.0,69.0,67.0,Cercano al retiro,82.14
Marcelo,29,LB ,82.0,82.0,82.0,84.0,84.0,84.0,84.0,82.0,82.0,82.0,80.0,80.0,80.0,81.0,81.0,79.0,79.0,79.0,80.0,80.0,79.0,79.0,77.0,77.0,79.0,77.0,Máximo potencial,83.14
Piqué,30,CB ,84.0,84.0,84.0,78.0,78.0,76.0,76.0,81.0,81.0,81.0,74.0,74.0,74.0,68.0,68.0,68.0,68.0,68.0,66.0,66.0,68.0,68.0,69.0,69.0,68.0,69.0,Máximo potencial,80.0
D. Alaba,25,CM CB LB ,80.0,80.0,80.0,83.0,83.0,84.0,84.0,82.0,82.0,82.0,81.0,81.0,81.0,81.0,81.0,80.0,80.0,80.0,80.0,80.0,79.0,79.0,77.0,77.0,79.0,77.0,Máximo potencial,82.0
Alex Sandro,26,LM LB ,81.0,81.0,81.0,84.0,84.0,84.0,84.0,81.0,81.0,81.0,78.0,78.0,78.0,80.0,80.0,77.0,77.0,77.0,78.0,78.0,76.0,76.0,75.0,75.0,76.0,75.0,Máximo potencial,82.71
